City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h)
Ahmedabad,60.5,98,2.35,30.8,18.25,8.5,0.1,11.85,126.4,27.1,1015.13,32.7,14.1197
Ahmedabad,65.5,111.25,2.7,24.2,15.07,9.77,0.1,13.17,117.12,29.7,1015.63,33.9,14.2646
Ahmedabad,80,132,2.1,25.18,15.15,12.02,0.1,12.08,98.98,30.5,1015.94,33.9,3.9284
Ahmedabad,81.5,133.25,1.95,16.25,10.23,11.58,0.1,10.47,112.2,28.6,1016.41,33.8,14.1036
Ahmedabad,75.25,116,1.43,17.48,10.43,12.03,0.1,9.12,106.35,33.7,1016.51,35,11.0446
Ahmedabad,69.25,108.25,0.7,18.47,10.38,13.8,0.1,9.25,91.1,31.9,1016.66,34.4,13.9587
Ahmedabad,67.5,111.5,1.05,12.15,7.3,17.65,0.1,9.4,112.7,29.9,1016.72,34.1,12.3648
Ahmedabad,68,111,1.25,14.12,8.5,20.28,0.1,8.9,116.12,29.8,1016.84,34,14.1519
Ahmedabad,73,102,0.3,14.3,7.9,11.5,0.3,11.8,121.5,30.4,1017.37,33.8,11.3183
Ahmedabad,81,123,0.8,24.85,13.88,10.28,0.1,11.62,83.8,31.1,1017.22,33.8,12.5258
Ahmedabad,82.5,122.75,1.25,21.82,12.65,10.18,0.1,12.7,87.25,32.9,1017.42,33.8,17.5651
Ahmedabad,77.5,112.5,0.5,23.5,12.9,8.9,0.1,11.58,76.45,35,1017.74,33.8,19.7869
Ahmedabad,77,112.5,1.3,23.58,13.6,8.75,0.1,11.1,101.93,37.7,1017.59,33.7,21.9443
Ahmedabad,80.75,122,1.08,19.2,11.08,9.3,0.1,12.58,107.77,36,1017.48,33.8,20.6885
Ahmedabad,83,137,2.12,26.03,15.62,7.73,0.1,12.75,93.57,32.2,1017.17,35.1,15.3755
Ahmedabad,77,112.5,1.3,23.58,13.6,8.75,0.1,11.1,101.93,32,1016.47,35,10.4006
Ahmedabad,104,148.5,1.93,23,13.75,9.8,0.1,15.3,117.62,30.1,1016.15,35,14.4095
Ahmedabad,94.5,142,1.33,16.25,9.75,9.65,0.1,17,136.23,29.6,1016.17,35,11.1573
Ahmedabad,82.75,126.5,1.47,14.83,9.07,9.7,0.1,15.4,149.92,29.4,1015.82,34.9,13.67
Ahmedabad,79,124,5.3,21.15,15.53,9.4,0.1,,156.8,32.5,1015.83,34.8,11.5
Ahmedabad,77,112.5,1.3,23.58,13.6,8.75,0.1,11.1,101.93,33.4,1015.85,34.8,11.25
Ahmedabad,68.5,117,1.35,13.6,8.35,7.4,0.1,21.8,161.7,27.6,1015.77,34.8,8.63
Ahmedabad,69.25,112.25,1.52,11.8,7.55,9.25,0.1,21.38,161.68,30,1015.4,34.7,11.92
Ahmedabad,70,107,2.8,30.33,18.4,6.15,0.1,18.9,147.97,33.5,1015.51,34.8,10.67
Ahmedabad,72.75,120.25,1.5,26.72,15.45,10.78,0.1,16.03,137.2,37.4,1014.4,34.8,9.17
Ahmedabad,81.5,134.75,1.1,18.78,10.88,14.73,0.1,12.93,146.03,44.3,1014.2,34.9,14.29
Ahmedabad,85,142.5,1.62,26.2,15.27,14.5,0.2,12.9,123,44.5,1008.71,34.9,8.04
Ahmedabad,91.5,145.75,0.98,18.88,10.83,14.12,0.2,15.22,146.52,41.8,1014.47,34.9,11.42
Ahmedabad,92.5,131.25,0.55,21.35,11.8,12.23,0.1,17.45,149.45,36.9,1014.45,34.8,7.54
Ahmedabad,89.25,123.5,0.65,11.55,6.68,10.85,0.1,22.15,158.75,33.3,1014.49,34.8,15.54
Ahmedabad,87.5,121,0.9,29.1,16.25,10.28,0.1,20.5,114.67,35.5,1014.52,34.8,4.63
Ahmedabad,97,135.75,1.13,19.8,11.45,11.83,0.1,21.57,141.6,35.5,1014.16,34.8,3.08
Ahmedabad,91.5,131.75,0.4,18.07,9.9,11.32,0.1,15.83,138.65,41.7,1014.24,34.8,2.5
Ahmedabad,85.5,125.25,0.55,17.85,9.95,13.1,0.1,14.08,140.63,43.2,1014.25,34.9,9.25
Ahmedabad,88.25,131.25,0.18,17.8,9.55,12.75,0.13,14.02,120.55,36.7,1013.96,34.9,13.42
Ahmedabad,85,122.25,0.25,15.13,8.23,10.35,0.1,14.23,110.27,36.8,1013.85,34.9,17.83
Ahmedabad,91,129,0.13,16.58,8.9,9.85,0.1,15.9,132.78,33.6,1013.04,34.9,3.71
Ahmedabad,98.25,137.75,0.38,31.75,17.18,9,0.1,12.12,89.2,33.4,1012.22,34.9,3.17
Ahmedabad,103,144.75,1.37,40.5,22.7,9.67,0.1,10.42,36.75,31.1,1011.44,34.9,8.04
Ahmedabad,97.75,143,2,38.48,22.12,10.73,0.1,16.12,92.12,27.1,1010.52,34.8,9.38
Ahmedabad,96.25,143.25,1.4,19.15,11.33,11.85,0.1,27.35,150.92,29.7,1009.83,34.8,13.7
Ahmedabad,64.75,126,1.22,20.28,11.8,10.55,0.1,45.65,161.2,30.5,1009.26,34.8,20.38
Ahmedabad,21,122.5,1.35,14.78,8.93,10.4,0.1,31.1,176.4,28.6,1008.76,34.8,9.25
Ahmedabad,70.25,110.25,1.57,28.1,16.22,6.2,0.1,107.92,149.47,33.7,1008.36,34.8,14.33
Ahmedabad,64,105,1.5,20.38,12.05,7.65,0.1,98.58,142.1,31.9,1008.11,34.8,16.79
Ahmedabad,60.5,103.75,1.75,23.83,14.15,8.9,0.1,62.57,145.05,29.9,1008.15,34.8,12.25
Ahmedabad,57,96.5,1.35,17.02,10.15,9.92,0.1,43.23,148,29.8,1007.85,34.8,22
Ahmedabad,53.25,87.25,1.4,13.93,8.53,9.47,0.1,13.22,155.3,30.4,1007.89,34.7,14.5
Ahmedabad,59.5,92.5,1.32,16.1,9.65,9.45,0.1,11.45,143.05,31.1,1007.36,34.7,14.88
Ahmedabad,61,104.25,1.15,25.38,14.45,12.08,0.1,11.47,125.92,32.9,1007.26,34.7,10.17
Ahmedabad,72.5,134.75,0.75,31.43,17.3,11.35,0.13,13.1,97.98,35,1005.1,34.7,10.88
Ahmedabad,80,159.5,3.97,41.65,25.4,11.25,0.18,12.47,70.07,37.7,1007.01,34.6,8.5
Ahmedabad,84,160,0.73,48.07,26.2,11.2,0.5,12.1,56.85,36,1006.73,34.6,12.54
Ahmedabad,95.75,172.75,1.35,34.12,19.25,9.83,0.53,10.23,48.52,32.2,1006.59,34.6,13.96
Ahmedabad,102.75,178.5,2.93,53.72,30.97,8,0.1,12.42,45.08,32,1006.34,34.6,19.17
Ahmedabad,124.75,207,1.78,51.25,28.7,9.7,0.08,12,54.87,30.1,1006.09,34.6,14.21
Ahmedabad,115.25,169.5,1.05,26.75,15.08,12.33,0.1,7.8,72.55,29.6,1005.97,34.6,16.5
Ahmedabad,96.5,136,0.58,22.75,12.58,11.3,0.1,8.33,75.95,29.4,1005.63,34.6,14.37
Ahmedabad,93.75,132,0.65,18.08,10.1,12.98,0.18,7.53,77.92,32.5,1005.83,34.7,11.08
Ahmedabad,98.25,136.75,0.33,21.37,11.62,19.05,0.13,5.78,75.95,33.4,1005.97,34.7,17.5
Ahmedabad,96.75,133.75,0.35,21.68,11.8,13.05,0.2,7,109.78,27.6,1005.64,34.7,11.71
Ahmedabad,99,136,0.77,19.9,11.23,12.58,0.1,7.48,121.53,30,1005.2,34.7,16.08
Ahmedabad,99.75,136,2.05,34.68,20.12,14.53,0.1,6.8,34.78,33.5,1005.1,34.8,15.46
Ahmedabad,98,142,7.05,35.6,24.67,14.47,0.1,6,21.55,37.4,1004.65,34.8,5.17
Ahmedabad,95,150.5,2.93,26.23,16.32,15.75,0.1,8.92,118.08,44.3,1004.04,34.8,3.42
